Player Name,Position,Team,Rookie,SFValue,Value
Trey Palmer,WR,NOS,No,1208,1482
Brandon Aiyuk,WR,SFO,No,1206,1507
Kendrick Bourne,WR,ARI,No,1205,1469
Keenan Allen,WR,FA,No,1198,1479
Kameron Johnson,WR,TBB,No,1198,1383
CJ Daniels,WR,LAR,Yes,1192,1401
Mitchell Evans,TE,CAR,No,1189,1338
Devin Singletary,RB,NYG,No,1180,1483
Charlie Kolar,TE,LAC,No,1168,1343
Elijah Higgins,TE,ARI,No,1164,1359
Darren Waller,TE,CAR,No,1163,1248
Raheim Sanders,RB,CLE,No,1163,1408
Xavier Restrepo,WR,TEN,No,1163,1389
Kalel Mullings,RB,TEN,No,1158,1377
Jacob Cowing,WR,SFO,No,1155,1436
Tanner McKee,QB,PHI,No,1143,478
Davis Mills,QB,HOU,No,1141,285
Donovan Edwards,RB,MIA,No,1135,1329
Jam Miller,RB,NEP,Yes,1135,1310
Dillon Gabriel,QB,CLE,No,1124,1223
Jameis Winston,QB,NYG,No,1120,1037
Tyreek Hill,WR,FA,No,1119,1471
Gabriel Davis,WR,BUF,No,1111,1289
KaVontae Turpin,WR,DAL,No,1108,1313
Tyler Huntley,QB,BAL,No,1107,595
Luke Schoonmaker,TE,DAL,No,1104,1319
J'Mari Taylor,RB,JAC,Yes,1103,1283
Bam Knight,RB,ARI,No,1097,1340
Matthew Hibner,TE,BAL,Yes,1085,1165
Efton Chism,WR,NEP,No,1083,1359
Will Levis,QB,TEN,No,1068,527
Sam Roush,TE,CHI,Yes,1059,1128
Tyler Goodson,RB,ATL,No,1044,1223
David Bell,WR,CLE,No,1044,1269
Khalil Herbert,RB,FA,No,1040,1226
Mack Hollins,WR,NEP,No,1039,1147
Nick Westbrook-Ikhine,WR,IND,No,1023,1215
Isaiah Hodgins,WR,NYG,No,1019,1161
Colbie Young,WR,CIN,Yes,1016,1156
Jonathan Mingo,WR,DAL,No,1013,1204
Javon Baker,WR,SFO,No,1005,1242
Najee Harris,RB,FA,No,1003,1259
Gardner Minshew,QB,ARI,No,999,399
Marcus Mariota,QB,WAS,No,998,759
Jake Bobo,WR,SEA,No,956,1187
Tyler Badie,RB,DEN,No,955,1150
Kenny Pickett,QB,CAR,No,955,572
Dameon Pierce,RB,PHI,No,949,1169
Brevin Jordan,TE,HOU,No,946,1183
Davis Allen,TE,LAR,No,945,1223
Sam Howell,QB,DAL,No,940,609
Israel Abanikanda,RB,DAL,No,937,1142
Xavier Gipson,WR,NYG,No,935,1124
Trey Lance,QB,LAC,No,927,570
Joe Flacco,QB,CIN,No,926,773
Frank Gore Jr.,RB,BUF,No,923,1092
Tyler Scott,WR,LAR,No,921,1109
Jared Wiley,TE,KCC,No,916,1107
Skyy Moore,WR,GBP,No,906,1054
Arian Smith,WR,NYJ,No,899,1108
Kendall Milton,RB,CIN,No,898,1038
Le'Veon Moss,RB,MIA,Yes,896,1105
Sione Vaki,RB,DET,No,887,1070
Michael Carter,RB,TEN,No,886,1081
Jack Endries,TE,CIN,Yes,886,1020
Mason Tipton,WR,NOS,No,879,1050
Bo Melton,WR,GBP,No,872,1073
Tyrell Shavers,WR,BUF,No,861,1082
Samaje Perine,RB,CIN,No,839,1016
Johnny Wilson,WR,PHI,No,828,1034
Brock Wright,TE,DET,No,825,927
Cole Payton,QB,PHI,Yes,819,179
Demarcus Robinson,WR,SFO,No,806,976
Bub Means,WR,NOS,No,795,1042
Drew Lock,QB,SEA,No,788,411
Lil'Jordan Humphrey,WR,DEN,No,759,895
Hassan Haskins,RB,NEP,No,759,933
Jawhar Jordan,RB,HOU,No,742,904
Reggie Virgil,WR,ARI,Yes,731,943
AJ Dillon,RB,CAR,No,685,840
Alexander Mattison,RB,MIA,No,664,831
Derius Davis,WR,LAC,No,655,842
Jonnu Smith,TE,FA,No,626,809
Ja'Lynn Polk,WR,FA,No,626,867
Elijah Mitchell,RB,FA,No,611,764
Ty Chandler,RB,NOS,No,603,694
Zach Wilson,QB,NOS,No,602,569
Jamari Thrash,WR,CLE,No,596,739
Sincere McCormick,RB,SFO,No,593,704
Mecole Hardman,WR,BUF,No,575,750
Malik Heath,WR,ATL,No,573,711
Tyler Johnson,WR,DAL,No,565,700
LaJohntay Wester,WR,BAL,No,561,701
Trayveon Williams,RB,DET,No,554,633
Stetson Bennett,QB,LAR,No,539,251
Brenden Rice,WR,FA,No,539,690
Kyle McCord,QB,GBP,No,534,278
Terrell Jennings,RB,FA,No,521,648
Zavier Scott,RB,MIN,No,508,599
JuJu Smith-Schuster,WR,NYG,No,500,747
Nathan Carter,RB,ATL,No,499,767
Dylan Laube,RB,LVR,No,493,622
Zamir White,RB,SFO,No,488,596
Devin Duvernay,WR,ARI,No,479,632
Thomas Fidone,TE,NYG,No,475,577
Jeremy McNichols,RB,WAS,No,470,629
Deuce Vaughn,RB,FA,No,467,565
